,name,rating,reviews,location,sector,since,employees
0,TCS,3.9,(43.3k Reviews),"Mumbai,Maharashtra + 250 more",Public,54 years old,1 Lakh+ Employees (India)
1,Accenture,4.1,(28.7k Reviews),"Dublin,Dublin + 135 more",Public,33 years old,1 Lakh+ Employees (India)
2,Cognizant,4.0,(26k Reviews),Teaneck. New Jersey. + 88 more,Private,28 years old,1 Lakh+ Employees (India)
3,ICICI Bank,4.0,(32.8k Reviews),"Mumbai,Maharashtra + 1006 more",Public,28 years old,50k-1 Lakh Employees (India)
4,Wipro,3.9,(24.5k Reviews),"Bangalore/Bengaluru,Karnataka + 258 more",Public,77 years old,1 Lakh+ Employees (India)
5,HDFC Bank,4.0,(33.9k Reviews),"Mumbai,Maharashtra + 1136 more",Public,28 years old,1 Lakh+ Employees (India)
6,Capgemini,3.9,(21k Reviews),Paris + 72 more,Public,55 years old,1 Lakh+ Employees (India)
7,HCL Technologies,3.9,(20.7k Reviews),"Noida,Uttar Pradesh + 160 more",Public,46 years old,1 Lakh+ Employees (India)
8,Infosys,4.0,(24.7k Reviews),"Bengaluru/Bangalore,Karnataka + 120 more",Public,41 years old,1 Lakh+ Employees (India)
9,Tech Mahindra,3.7,(19.2k Reviews),"Pune,Maharashtra + 190 more",Public,36 years old,50k-1 Lakh Employees (India)
10,Genpact,4.0,(19.3k Reviews),"New York,New York + 61 more",Private,25 years old,50k-1 Lakh Employees (India)
11,Axis Bank,3.9,(17.3k Reviews),"Mumbai,Maharashtra + 1011 more",Public,29 years old,50k-1 Lakh Employees (India)
12,IBM,4.2,(14.2k Reviews),"Armonk,New York + 112 more",Public,111 years old,50k-1 Lakh Employees (India)
13,Amazon,4.2,(13.7k Reviews),"Seattle,Washington + 333 more",Private,28 years old,1 Lakh+ Employees (India)
14,Concentrix Corpo...,4.1,(13.7k Reviews),"Fremont,California + 63 more",Public,39 years old,10k-50k Employees (India)
15,Larsen & Toubro ...,4.1,(18.6k Reviews),"Mumbai,Maharashtra + 500 more",Public,84 years old,10k-50k Employees (India)
16,Reliance jio,4.0,(13.3k Reviews),"Navi Mumbai,Maharashtra + 917 more",Public,15 years old,10k-50k Employees (India)
17,Vodafone Idea,4.3,(13k Reviews),"Gandhinagar,Gujrat + 552 more",Public,4 years old,10k-50k Employees (India)
